dataset,folder,n_windows,true_folder_label,majority_pred_folder_label,window_accuracy,folder_majority_correct,low_window_accuracy_flag,misclassified_windows
activity,data/P4/PVC/sitting/P4_pvc_sit_0001,29,sitting,sitting,1.000000,1,0,0
activity,data/P4/PVC/sitting/P4_pvc_sit_0002,29,sitting,sitting,1.000000,1,0,0
activity,data/P4/PVC/sitting/P4_pvc_sit_0003,29,sitting,sitting,1.000000,1,0,0
activity,data/P4/PVC/sitting/P4_pvc_sit_0004,29,sitting,sitting,1.000000,1,0,0
activity,data/P4/PVC/sitting/P4_pvc_sit_0005,29,sitting,sitting,1.000000,1,0,0
activity,data/P4/PVC/sitting/P4_pvc_sit_0006,29,sitting,sitting,1.000000,1,0,0
activity,data/P4/PVC/sitting/P4_pvc_sit_0007,6,sitting,sitting,1.000000,1,0,0
activity,data/P4/PVC/standing/P4_pvc_stand_0001,29,standing,standing,1.000000,1,0,0
activity,data/P4/PVC/standing/P4_pvc_stand_0002,29,standing,standing,1.000000,1,0,0
activity,data/P4/PVC/standing/P4_pvc_stand_0003,29,standing,standing,1.000000,1,0,0
activity,data/P4/PVC/standing/P4_pvc_stand_0004,29,standing,standing,1.000000,1,0,0
activity,data/P4/PVC/standing/P4_pvc_stand_0005,29,standing,standing,1.000000,1,0,0
activity,data/P4/PVC/standing/P4_pvc_stand_0006,29,standing,standing,1.000000,1,0,0
activity,data/P4/PVC/standing/P4_pvc_stand_0007,11,standing,standing,1.000000,1,0,0
activity,data/P4/PVC/walking/P4_pvc_walk_0001,29,walk,walk,1.000000,1,0,0
activity,data/P4/PVC/walking/P4_pvc_walk_0002,29,walk,walk,1.000000,1,0,0
activity,data/P4/PVC/walking/P4_pvc_walk_0003,29,walk,walk,1.000000,1,0,0
activity,data/P4/PVC/walking/P4_pvc_walk_0004,29,walk,walk,1.000000,1,0,0
activity,data/P4/PVC/walking/P4_pvc_walk_0005,29,walk,walk,1.000000,1,0,0
activity,data/P4/PVC/walking/P4_pvc_walk_0006,29,walk,walk,1.000000,1,0,0
activity,data/P4/asphalt/sitting/P4_asphalt_sit_0001,29,sitting,sitting,1.000000,1,0,0
activity,data/P4/asphalt/sitting/P4_asphalt_sit_0002,29,sitting,sitting,1.000000,1,0,0
activity,data/P4/asphalt/sitting/P4_asphalt_sit_0003,29,sitting,sitting,1.000000,1,0,0
activity,data/P4/asphalt/sitting/P4_asphalt_sit_0004,29,sitting,sitting,1.000000,1,0,0
activity,data/P4/asphalt/sitting/P4_asphalt_sit_0005,29,sitting,sitting,1.000000,1,0,0
activity,data/P4/asphalt/sitting/P4_asphalt_sit_0006,29,sitting,sitting,1.000000,1,0,0
activity,data/P4/asphalt/sitting/P4_asphalt_sit_0007,29,sitting,sitting,1.000000,1,0,0
activity,data/P4/asphalt/sitting/P4_asphalt_sit_0008,17,sitting,sitting,1.000000,1,0,0
activity,data/P4/asphalt/standing/P4_asphalt_stand_0001,29,standing,standing,1.000000,1,0,0
activity,data/P4/asphalt/standing/P4_asphalt_stand_0002,29,standing,standing,1.000000,1,0,0
activity,data/P4/asphalt/standing/P4_asphalt_stand_0003,29,standing,standing,1.000000,1,0,0
activity,data/P4/asphalt/standing/P4_asphalt_stand_0004,29,standing,standing,1.000000,1,0,0
activity,data/P4/asphalt/standing/P4_asphalt_stand_0005,29,standing,standing,1.000000,1,0,0
activity,data/P4/asphalt/standing/P4_asphalt_stand_0006,8,standing,standing,1.000000,1,0,0
activity,data/P4/asphalt/standing/P4_asphalt_stand_0007,12,standing,standing,1.000000,1,0,0
activity,data/P4/asphalt/walking/P4_asphalt_walk_0001,29,walk,walk,1.000000,1,0,0
activity,data/P4/asphalt/walking/P4_asphalt_walk_0002,29,walk,walk,1.000000,1,0,0
activity,data/P4/asphalt/walking/P4_asphalt_walk_0003,29,walk,walk,1.000000,1,0,0
activity,data/P4/asphalt/walking/P4_asphalt_walk_0004,29,walk,walk,1.000000,1,0,0
activity,data/P4/asphalt/walking/P4_asphalt_walk_0005,29,walk,walk,1.000000,1,0,0
activity,data/P4/asphalt/walking/P4_asphalt_walk_0006,29,walk,walk,1.000000,1,0,0
activity,data/P4/asphalt/walking/P4_asphalt_walk_0007,5,walk,walk,1.000000,1,0,0
activity,data/P4/grass/sitting/P4_grass_sit_0001,29,sitting,sitting,1.000000,1,0,0
activity,data/P4/grass/sitting/P4_grass_sit_0002,29,sitting,sitting,1.000000,1,0,0
activity,data/P4/grass/sitting/P4_grass_sit_0003,29,sitting,sitting,1.000000,1,0,0
activity,data/P4/grass/sitting/P4_grass_sit_0004,29,sitting,sitting,1.000000,1,0,0
activity,data/P4/grass/sitting/P4_grass_sit_0005,29,sitting,sitting,1.000000,1,0,0
activity,data/P4/grass/sitting/P4_grass_sit_0006,27,sitting,sitting,1.000000,1,0,0
activity,data/P4/grass/standing/P4_grass_stand_0001,10,standing,standing,1.000000,1,0,0
activity,data/P4/grass/standing/P4_grass_stand_0002,29,standing,standing,1.000000,1,0,0
activity,data/P4/grass/standing/P4_grass_stand_0003,29,standing,standing,1.000000,1,0,0
activity,data/P4/grass/standing/P4_grass_stand_0004,29,standing,standing,1.000000,1,0,0
activity,data/P4/grass/standing/P4_grass_stand_0005,29,standing,standing,1.000000,1,0,0
activity,data/P4/grass/standing/P4_grass_stand_0006,29,standing,standing,1.000000,1,0,0
activity,data/P4/grass/standing/P4_grass_stand_0007,9,standing,standing,1.000000,1,0,0
activity,data/P4/grass/walking/P4_grass_walk_0001,29,walk,walk,1.000000,1,0,0
activity,data/P4/grass/walking/P4_grass_walk_0002,29,walk,walk,1.000000,1,0,0
activity,data/P4/grass/walking/P4_grass_walk_0003,29,walk,walk,1.000000,1,0,0
activity,data/P4/grass/walking/P4_grass_walk_0004,29,walk,walk,1.000000,1,0,0
activity,data/P4/grass/walking/P4_grass_walk_0005,29,walk,walk,1.000000,1,0,0
activity,data/P4/grass/walking/P4_grass_walk_0006,29,walk,walk,1.000000,1,0,0
activity,data/P4/grass/walking/P4_grass_walk_0007,7,walk,walk,1.000000,1,0,0
activity,data/P4/gravel/sitting/P4_gravel_sit_0001,29,sitting,sitting,1.000000,1,0,0
