run_dir,fold,task,fusion,modalities,seed,shuffle_train_labels,n_train_internal,n_internal_val,n_test_heldout,params,size_mb,test_accuracy,test_macro_f1,test_weighted_f1,test_n,nonoverlap_accuracy,nonoverlap_macro_f1,nonoverlap_weighted_f1,nonoverlap_n,folder_majority_accuracy,folder_majority_macro_f1,folder_majority_weighted_f1,folder_majority_n,majority_baseline_accuracy,majority_baseline_macro_f1,majority_baseline_weighted_f1,majority_baseline_n,majority_class,zero_audio_accuracy,zero_audio_macro_f1,zero_image_accuracy,zero_image_macro_f1,zero_imu_accuracy,zero_imu_macro_f1,zero_tof_accuracy,zero_tof_macro_f1,zero_mag_accuracy,zero_mag_macro_f1
experiments_lopgo/final_stability/test_p4__surface__concat__audio-image__seed44,test_p4,surface,concat,audio+image,44,False,8247,2052,951,165573,2.0483245849609375,0.9842271293375394,0.9851524840099894,0.984072123206596,951,0.9858012170385395,0.9868952177788435,0.9856575137443321,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.28180862250262884,0.08794093519278097,0.19348054679284962,0.08757875736807966,,,,,,
experiments_lopgo/final_stability/test_p4__activity__gated__imu-audio__seed44,test_p4,activity,gated,imu+audio,44,False,23796,5992,2735,128629,1.6400604248046875,0.9996343692870201,0.9996338160076007,0.9996343605886969,2735,1.0,1.0,1.0,1417,1.0,1.0,1.0,105,0.34771480804387567,0.17200217037438958,0.17942310496458264,2735,walk,0.34771480804387567,0.17200217037438958,,,0.33308957952468005,0.16657524227463888,,,,
experiments_lopgo/final_stability/test_p4__activity__gated__imu-tof-mag-audio-image__seed44,test_p4,activity,gated,imu+tof+mag+audio+image,44,False,23796,5992,2735,276840,3.4698715209960938,1.0,1.0,1.0,2735,1.0,1.0,1.0,1417,1.0,1.0,1.0,105,0.34771480804387567,0.17200217037438958,0.17942310496458264,2735,walk,0.4797074954296161,0.4598723067599339,1.0,1.0,0.8153564899451554,0.8187367678264218,0.9992687385740402,0.9992677345537757,1.0,1.0
experiments_lopgo/final_stability/test_p4__surface__concat__audio-image__seed43,test_p4,surface,concat,audio+image,43,False,8180,2119,951,165573,2.0483245849609375,0.9747634069400631,0.9741777977174149,0.9742096770534904,951,0.9756592292089249,0.9753754613864425,0.975258914368492,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.28180862250262884,0.08794093519278097,0.2733964248159832,0.22800356984583522,,,,,,
experiments_lopgo/final_stability/test_p4__activity__gated__imu-audio__seed43,test_p4,activity,gated,imu+audio,43,False,23965,5823,2735,128629,1.6400604248046875,0.9985374771480804,0.998559680125591,0.9985380025053276,2735,0.9978828510938603,0.9979261783980857,0.9978826872998615,1417,1.0,1.0,1.0,105,0.34771480804387567,0.17200217037438958,0.17942310496458264,2735,walk,1.0,1.0,,,0.40877513711151736,0.29655085019891886,,,,
experiments_lopgo/final_stability/test_p4__activity__gated__imu-tof-mag-audio-image__seed43,test_p4,activity,gated,imu+tof+mag+audio+image,43,False,23965,5823,2735,276840,3.4698715209960938,1.0,1.0,1.0,2735,1.0,1.0,1.0,1417,1.0,1.0,1.0,105,0.34771480804387567,0.17200217037438958,0.17942310496458264,2735,walk,0.9744058500914077,0.9744303826152162,1.0,1.0,0.6687385740402194,0.5499838872776167,0.9996343692870201,0.9996418049069842,1.0,1.0
experiments_lopgo/final_stability/test_p3__surface__concat__audio-image__seed44,test_p3,surface,concat,audio+image,44,False,6432,1543,3275,165573,2.0483245849609375,0.9584732824427481,0.9601145026912119,0.9590932605471955,3275,0.9553571428571429,0.9578513167856835,0.9560092778586524,1680,1.0,1.0,1.0,118,0.28458015267175574,0.08861421440456382,0.12608923332069233,3275,sand,0.17923664122137403,0.060797514241325734,0.33221374045801527,0.21917694718523678,,,,,,
experiments_lopgo/final_stability/test_p3__activity__gated__imu-audio__seed44,test_p3,activity,gated,imu+audio,44,False,17667,4483,10373,128629,1.6400604248046875,0.9888171213727948,0.988405277265946,0.988798758670206,10373,0.9878481959244718,0.987389490317912,0.9878259294343197,5349,0.997289972899729,0.9971870604781997,0.997289972899729,369,0.36103345223175554,0.17684280115219342,0.1915385010069308,10373,sitting,0.9561361226260484,0.9542739497034258,,,0.6160223657572544,0.5311704297544515,,,,
experiments_lopgo/final_stability/test_p3__activity__gated__imu-tof-mag-audio-image__seed44,test_p3,activity,gated,imu+tof+mag+audio+image,44,False,17667,4483,10373,276840,3.4698715209960938,0.9885279089945049,0.9886689980524554,0.988557780871768,10373,0.9885959992521967,0.9887599979408966,0.988625534644853,5349,0.991869918699187,0.9920192047821179,0.9918737962597826,369,0.36103345223175554,0.17684280115219342,0.1915385010069308,10373,sitting,0.315723512966355,0.1599745994529113,0.9824544490504193,0.9825856013428335,0.6625855586619107,0.630870981353374,0.8984864552202835,0.8900220198783101,0.9264436517882966,0.9263084998964772
experiments_lopgo/final_stability/test_p3__surface__concat__audio-image__seed43,test_p3,surface,concat,audio+image,43,False,6324,1651,3275,165573,2.0483245849609375,0.9541984732824428,0.9552126158926562,0.9548449722492861,3275,0.9529761904761904,0.9545289505552071,0.9535560365061334,1680,1.0,1.0,1.0,118,0.28458015267175574,0.08861421440456382,0.12608923332069233,3275,sand,0.17923664122137403,0.060797514241325734,0.4299236641221374,0.3741930639835496,,,,,,
