task,fusion,modalities,folds,n_runs,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_nonoverlap_macro_f1,mean_folder_macro_f1,mean_majority_baseline_macro_f1,mean_params,mean_size_mb
activity,gated,imu+mag+audio,"test_p1p2,test_p3,test_p4",3,0.9562935553887221,0.06784488523488634,0.9530778932295432,0.0733210925834754,0.9532281909840866,0.9583071033681693,0.1753190220111451,146566.0,1.889129638671875
activity,concat,imu+tof+mag+audio,"test_p1p2,test_p3,test_p4",3,0.9531428957080168,0.07384953632704813,0.9524642396096582,0.07509528793439561,0.9528467232308042,0.9566645985602896,0.1753190220111451,173379.0,2.2170181274414062
activity,concat,imu+audio+image,"test_p1p2,test_p3,test_p4",3,0.9525304427528206,0.07916044172606597,0.9519555578287727,0.08008435026688351,0.9521803941138485,0.9566091044141354,0.1753190220111451,245475.0,3.0218276977539062
activity,concat,imu+mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.9527201524822425,0.06618183663290848,0.9513335596102138,0.06795899927651133,0.9515752770503932,0.9552135846621508,0.1753190220111451,267971.0,3.3220672607421875
activity,concat,imu+tof+audio,"test_p1p2,test_p3,test_p4",3,0.9513397106941155,0.07761709536865834,0.9508175045267775,0.07845729275972853,0.9508895401791392,0.9566091044141354,0.1753190220111451,150883.0,1.9155120849609375
activity,gated,imu+tof+audio,"test_p1p2,test_p3,test_p4",3,0.9519232350056764,0.06487320963387225,0.9505022730108829,0.06757051625606261,0.9503058658214879,0.9594125620270799,0.1753190220111451,146470.0,1.8875808715820312
activity,gated,imu+mag,"test_p1p2,test_p3,test_p4",3,0.950770955357607,0.07531156337837103,0.9500422729835556,0.07628498712744704,0.9496385594815641,0.9571269780581524,0.1753190220111451,116085.0,1.48883056640625
activity,concat,imu+tof+mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.9503694376718498,0.06857954436061983,0.9495618148223327,0.07017039339739632,0.9497364269431098,0.9529193923006454,0.1753190220111451,290371.0,3.6177520751953125
activity,gated,imu+tof+mag+image,"test_p1p2,test_p3,test_p4",3,0.9500727838728581,0.07778818146758484,0.9495480697791582,0.0785757388800857,0.9495397387806448,0.9544388693723268,0.1753190220111451,246359.0,3.0885009765625
activity,concat,mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.9500867477285949,0.03150107836573924,0.9487112376286321,0.033384051277937025,0.9486743103344182,0.9652354625301308,0.1753190220111451,187811.0,2.3468704223632812
