task,fusion,modalities,n_runs,test_accuracy_mean_std,test_macro_f1_mean_std,nonoverlap_macro_f1_mean_std,folder_macro_f1_mean_std,params_mean
activity,gated,imu+mag+audio,3,0.9563 ± 0.0678,0.9531 ± 0.0733,0.9532 ± 0.0733,0.9583 ± 0.0699,146566.0
activity,concat,imu+tof+mag+audio,3,0.9531 ± 0.0738,0.9525 ± 0.0751,0.9528 ± 0.0751,0.9567 ± 0.0728,173379.0
activity,concat,imu+audio+image,3,0.9525 ± 0.0792,0.9520 ± 0.0801,0.9522 ± 0.0800,0.9566 ± 0.0752,245475.0
activity,concat,imu+mag+audio+image,3,0.9527 ± 0.0662,0.9513 ± 0.0680,0.9516 ± 0.0678,0.9552 ± 0.0635,267971.0
activity,concat,imu+tof+audio,3,0.9513 ± 0.0776,0.9508 ± 0.0785,0.9509 ± 0.0786,0.9566 ± 0.0752,150883.0
activity,gated,imu+tof+audio,3,0.9519 ± 0.0649,0.9505 ± 0.0676,0.9503 ± 0.0668,0.9594 ± 0.0680,146470.0
activity,gated,imu+mag,3,0.9508 ± 0.0753,0.9500 ± 0.0763,0.9496 ± 0.0760,0.9571 ± 0.0743,116085.0
activity,concat,imu+tof+mag+audio+image,3,0.9504 ± 0.0686,0.9496 ± 0.0702,0.9497 ± 0.0708,0.9529 ± 0.0660,290371.0
activity,gated,imu+tof+mag+image,3,0.9501 ± 0.0778,0.9495 ± 0.0786,0.9495 ± 0.0784,0.9544 ± 0.0766,246359.0
activity,concat,mag+audio+image,3,0.9501 ± 0.0315,0.9487 ± 0.0334,0.9487 ± 0.0352,0.9652 ± 0.0344,187811.0
activity,gated,imu+tof+audio+image,3,0.9485 ± 0.0876,0.9486 ± 0.0874,0.9487 ± 0.0875,0.9520 ± 0.0832,258903.0
activity,gated,imu+audio,9,0.9488 ± 0.0647,0.9481 ± 0.0658,0.9479 ± 0.0657,0.9545 ± 0.0632,128629.0
activity,gated,imu+audio+image,3,0.9469 ± 0.0879,0.9471 ± 0.0877,0.9471 ± 0.0877,0.9511 ± 0.0824,241062.0
activity,concat,imu+audio,3,0.9471 ± 0.0857,0.9471 ± 0.0856,0.9476 ± 0.0860,0.9520 ± 0.0832,128483.0
activity,concat,imu+tof+mag,3,0.9473 ± 0.0848,0.9471 ± 0.0849,0.9472 ± 0.0849,0.9519 ± 0.0811,138339.0
activity,gated,imu+mag+audio+image,3,0.9470 ± 0.0847,0.9469 ± 0.0849,0.9469 ± 0.0848,0.9505 ± 0.0811,258999.0
activity,gated,imu+tof+image,3,0.9473 ± 0.0745,0.9468 ± 0.0755,0.9467 ± 0.0755,0.9558 ± 0.0742,228422.0
activity,gated,imu+tof+mag+audio+image,9,0.9482 ± 0.0636,0.9468 ± 0.0655,0.9471 ± 0.0655,0.9507 ± 0.0619,276840.0
activity,concat,imu+mag+image,3,0.9466 ± 0.0853,0.9463 ± 0.0856,0.9463 ± 0.0857,0.9513 ± 0.0820,232931.0
activity,concat,imu+image,3,0.9452 ± 0.0860,0.9452 ± 0.0859,0.9454 ± 0.0863,0.9519 ± 0.0834,210435.0
activity,concat,imu+mag+audio,3,0.9455 ± 0.0835,0.9452 ± 0.0839,0.9456 ± 0.0841,0.9512 ± 0.0822,150979.0
activity,concat,imu+tof+audio+image,3,0.9451 ± 0.0871,0.9449 ± 0.0873,0.9446 ± 0.0871,0.9512 ± 0.0844,267875.0
activity,concat,imu+tof,3,0.9443 ± 0.0877,0.9443 ± 0.0874,0.9443 ± 0.0873,0.9501 ± 0.0864,115843.0
