task,fusion,modalities,folds,n_runs,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_nonoverlap_macro_f1,mean_folder_macro_f1,mean_majority_baseline_macro_f1,mean_params,mean_size_mb
activity,gated,imu+mag+audio,"test_p1p2,test_p3,test_p4",3,0.9562935553887221,0.06784488523488634,0.9530778932295432,0.0733210925834754,0.9532281909840866,0.9583071033681693,0.1753190220111451,146566.0,1.889129638671875
activity,concat,imu+tof+mag+audio,"test_p1p2,test_p3,test_p4",3,0.9531428957080168,0.07384953632704813,0.9524642396096582,0.07509528793439561,0.9528467232308042,0.9566645985602896,0.1753190220111451,173379.0,2.2170181274414062
activity,concat,imu+audio+image,"test_p1p2,test_p3,test_p4",3,0.9525304427528206,0.07916044172606597,0.9519555578287727,0.08008435026688351,0.9521803941138485,0.9566091044141354,0.1753190220111451,245475.0,3.0218276977539062
activity,concat,imu+mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.9527201524822425,0.06618183663290848,0.9513335596102138,0.06795899927651133,0.9515752770503932,0.9552135846621508,0.1753190220111451,267971.0,3.3220672607421875
activity,concat,imu+tof+audio,"test_p1p2,test_p3,test_p4",3,0.9513397106941155,0.07761709536865834,0.9508175045267775,0.07845729275972853,0.9508895401791392,0.9566091044141354,0.1753190220111451,150883.0,1.9155120849609375
activity,gated,imu+tof+audio,"test_p1p2,test_p3,test_p4",3,0.9519232350056764,0.06487320963387225,0.9505022730108829,0.06757051625606261,0.9503058658214879,0.9594125620270799,0.1753190220111451,146470.0,1.8875808715820312
activity,gated,imu+mag,"test_p1p2,test_p3,test_p4",3,0.950770955357607,0.07531156337837103,0.9500422729835556,0.07628498712744704,0.9496385594815641,0.9571269780581524,0.1753190220111451,116085.0,1.48883056640625
activity,concat,imu+tof+mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.9503694376718498,0.06857954436061983,0.9495618148223327,0.07017039339739632,0.9497364269431098,0.9529193923006454,0.1753190220111451,290371.0,3.6177520751953125
activity,gated,imu+tof+mag+image,"test_p1p2,test_p3,test_p4",3,0.9500727838728581,0.07778818146758484,0.9495480697791582,0.0785757388800857,0.9495397387806448,0.9544388693723268,0.1753190220111451,246359.0,3.0885009765625
activity,concat,mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.9500867477285949,0.03150107836573924,0.9487112376286321,0.033384051277937025,0.9486743103344182,0.9652354625301308,0.1753190220111451,187811.0,2.3468704223632812
surface,concat,audio+image,"test_p1p2,test_p3,test_p4",9,0.972513212798539,0.01217154387624777,0.9726303311680476,0.011576035693821306,0.9726422350915297,0.9987880095199062,0.08876926659134107,165573.0,2.0483245849609375
surface,concat,tof+audio+image,"test_p1p2,test_p3,test_p4",3,0.9723509458526545,0.013858092327023298,0.972074791632204,0.013098053602644634,0.96893365772855,0.9989042041459048,0.08876926659134109,187973.0,2.3473663330078125
surface,concat,imu+tof+mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.969734153986669,0.016239548725397956,0.9683686687647732,0.016451750201904623,0.9660852513855778,1.0,0.08876926659134109,290629.0,3.6224136352539062
surface,concat,tof+mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.9654441545615954,0.03314514563947542,0.9667910575161557,0.030929568499636604,0.9668204551942342,1.0,0.08876926659134109,210469.0,2.64886474609375
surface,concat,imu+tof+audio+image,"test_p1p2,test_p3,test_p4",3,0.9654714895293336,0.012924039187844686,0.96221770856781,0.013901893355474669,0.9606206545704584,0.9989042041459048,0.08876926659134109,268133.0,3.324615478515625
surface,concat,imu+audio+image,"test_p1p2,test_p3,test_p4",3,0.9619815483764297,0.018346881894168852,0.959500296468614,0.019751600423971852,0.9607208113065789,0.9985556202679091,0.08876926659134109,245733.0,3.0245132446289062
surface,concat,imu+mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.9562978631936895,0.020635241958021428,0.954381366288552,0.020767786880570592,0.9520233652724154,0.9897435897435898,0.08876926659134109,268229.0,3.3256607055664062
surface,concat,imu+tof+image,"test_p1p2,test_p3,test_p4",3,0.9540313897408105,0.006435252304837661,0.9505640827926861,0.010144022254317316,0.9472128361469819,0.996858832224686,0.08876926659134109,233093.0,2.87109375
surface,gated,tof+audio+image,"test_p1p2,test_p3,test_p4",3,0.9447946835331895,0.054450266997822905,0.9452262115409287,0.05244783678826658,0.9412233335928492,0.9949494949494949,0.08876926659134109,183560.0,2.3181228637695312
surface,gated,audio+image,"test_p1p2,test_p3,test_p4",3,0.9451555789950968,0.056270399476765084,0.9444225016149685,0.05652362144572237,0.9445956385030946,0.9985556202679091,0.08876926659134109,165719.0,2.07171630859375
